question,ground_truth,query_type,source_doc
What is RAG and why is it used instead of relying solely on LLM training data?,RAG (Retrieval-Augmented Generation) is an architecture that enhances LLM responses by retrieving relevant external knowledge at inference time. It allows the model to answer questions grounded in specific documents rather than general knowledge encoded in model parameters.,factual,rag_fundamentals
What is semantic chunking and how does it decide where to split a document?,Semantic chunking splits documents based on meaning rather than token count. It uses embedding similarity between consecutive sentences to detect topic shifts: when cosine similarity between adjacent sentences drops below a threshold a chunk boundary is inserted. This produces semantically coherent chunks but variable chunk sizes.,factual,rag_fundamentals
What are the three chunking strategies described and what is the tradeoff of each?,"Fixed-size chunking is simple and fast but ignores sentence boundaries. Semantic chunking produces coherent chunks but variable sizes. Recursive character splitting balances coherence and predictability by splitting on natural boundaries in priority order. Document-aware chunking produces highest quality when document structure is consistent.",summary,rag_fundamentals
What is the difference between all-MiniLM-L6-v2 and all-mpnet-base-v2 embedding models?,all-MiniLM-L6-v2 produces 384-dimensional vectors and is balanced for speed and quality. all-mpnet-base-v2 produces 768-dimensional vectors with higher accuracy but slower inference.,factual,rag_fundamentals
Why is cosine similarity the standard distance metric for text embeddings?,Cosine similarity measures the angle between vectors independently of their magnitude. It is equivalent to dot product similarity when vectors are L2-normalized.,factual,rag_fundamentals
What is FAISS and what are its limitations for production RAG systems?,FAISS is an open-source library for efficient similarity search in dense vector spaces. It runs entirely in memory and does not support metadata filtering natively. It is best suited for small-to-medium datasets that fit in RAM.,factual,rag_fundamentals
How does Qdrant support multi-tenancy and scoped retrieval?,Qdrant supports payload-based filtering enabling scoped retrieval by metadata fields such as user_id or session_id without scanning irrelevant vectors. It can be deployed locally via Docker or accessed through Qdrant Cloud.,factual,rag_fundamentals
What are the two phases of a RAG pipeline and what happens in each?,"During indexing, documents are chunked, embedded, and stored in a vector store with metadata. During inference, a user query is embedded, top-K similar chunks are retrieved, formatted into a prompt, and passed to an LLM to generate a grounded response.",factual,rag_fundamentals
What are the three factors that determine RAG response quality?,"Retrieval precision (are the right chunks retrieved), context utilization (does the LLM use retrieved context faithfully), and generation quality (does the LLM produce a coherent accurate response). Failures in any stage propagate to the final output.",factual,rag_fundamentals
What is query rewriting and what kind of queries benefit most from it?,Query rewriting uses an LLM to transform the user query into a cleaner more retrieval-friendly form before embedding. Conversational or underspecified queries benefit most such as those with ambiguous pronouns or missing context.,factual,rag_retrieval_optimization
How does multi-query expansion increase retrieval recall?,Multi-query expansion generates multiple reformulations of the original query and retrieves chunks for each variant independently. The retrieved sets are merged and deduplicated. This covers different phrasings and perspectives of the same information need increasing the chance of finding all relevant chunks.,factual,rag_retrieval_optimization
Why is deduplication necessary when using multi-query expansion?,Without deduplication the same chunk appears multiple times in the context window wasting tokens and potentially biasing the LLM toward repeated content. Deduplication is performed by chunk ID or content hash after merging results from all query variants.,factual,rag_retrieval_optimization
What is the difference between a bi-encoder and a cross-encoder in retrieval?,A bi-encoder embeds queries and chunks independently enabling fast ANN search and offline chunk pre-computation. A cross-encoder processes a query-chunk pair together outputting a single relevance score. Cross-encoders are more accurate but cannot pre-compute representations making them suitable as rerankers over small candidate pools rather than first-stage retrievers.,factual,rag_retrieval_optimization
What is Recall@K and why is it the primary retrieval evaluation metric?,Recall@K measures what fraction of all relevant information is present in the top K retrieved chunks. It is the primary metric because downstream generation quality is bounded by retrieval recall: information not retrieved cannot appear in the answer.,factual,rag_retrieval_optimization
